winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Dtoke,Trueno,1 RÉPLICA,FALSE,FALSE,"Santa Fe, Argentina",FMS Argentina,2,2019-2020,"Sábado, 11 de Mayo de 2019",11/05/2019
Nacho,Zaina,EXHIBICIÓN,TRUE,TRUE,"Santa Fe, Argentina",FMS Argentina,2,2019-2020,"Sábado, 11 de Mayo de 2019",11/05/2019
Chuty,Walls,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,2,2019-2020,"Sábado, 08 de Junio de 2019",08/06/2019
Skone,BTA,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,2,2019-2020,"Sábado, 08 de Junio de 2019",08/06/2019
Errecé,Zasko,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,2,2019-2020,"Sábado, 08 de Junio de 2019",08/06/2019
Bnet,Mr Ego,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,2,2019-2020,"Sábado, 08 de Junio de 2019",08/06/2019
Blon,Force,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,2,2019-2020,"Sábado, 08 de Junio de 2019",08/06/2019
RC,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Torreón, Coahuila, México",FMS Mexico,2,2019-2020,"Domingo, 16 de Junio de 2019",16/06/2019
Jony Beltrán,Zticma,SIN RÉPLICA,FALSE,FALSE,"Torreón, Coahuila, México",FMS Mexico,2,2019-2020,"Domingo, 16 de Junio de 2019",16/06/2019
Rapder,McKlopedia,SIN RÉPLICA,FALSE,FALSE,"Torreón, Coahuila, México",FMS Mexico,2,2019-2020,"Domingo, 16 de Junio de 2019",16/06/2019
Aczino,Lobo Estepario,SIN RÉPLICA,FALSE,FALSE,"Torreón, Coahuila, México",FMS Mexico,2,2019-2020,"Domingo, 16 de Junio de 2019",16/06/2019
